wavelength (nm)
430.00
434.12
438.24
442.35
446.47
450.59
454.71
458.82
462.94
467.06
471.18
475.29
479.41
483.53
487.65
491.76
495.88
500.00
504.12
508.24
512.35
516.47
520.59
524.71
528.82
532.94
537.06
541.18
545.29
549.41
553.53
557.65
561.76
565.88
570.00
574.12
578.24
582.35
586.47
590.59
594.71
598.82
602.94
607.06
611.18
615.29
619.41
623.53
627.65
631.76
635.88
640.00
644.12
648.24
652.35
656.47
660.59
664.71
668.82
672.94
677.06
681.18
685.29
689.41
693.53
697.65
701.76
705.88
710.00
714.12
718.24
722.35
726.47
730.59
734.71
738.82
742.94
747.06
751.18
755.29
759.41
763.53
767.65
771.76
775.88
780.00
784.12
788.24
792.35
796.47
800.59
804.71
808.82
812.94
817.06
821.18
825.29
829.41
833.53
837.65
841.76
845.88
850.00
