wavelength (nm)
401.288
404.590
407.919
411.279
414.671
418.100
421.568
425.078
428.632
432.235
435.888
439.595
443.358
447.182
451.067
455.019
459.040
463.134
467.302
471.550
475.880
480.298
484.805
489.406
494.105
498.906
503.814
508.832
513.966
519.221
524.600
530.109
535.752
541.537
547.467
553.547
559.784
566.183
572.751
579.491
586.411
593.518
600.815
608.309
616.006
623.912
632.031
640.368
648.930
657.721
666.745
676.005
685.506
695.249
705.237
715.473
725.956
736.686
747.664
758.887
770.353
782.060
794.003
806.177
818.576
831.195
844.025
857.059
870.287
883.702
897.292
911.048
924.959
939.015
953.203
967.514
981.935
996.454
1011.06
1025.75
1040.51
1055.31
1070.16
1085.06
1099.97
1114.90
1129.85
1144.79
1159.73
1174.65
1189.55
1204.42
1219.26
1234.06
1248.82
1263.53
1278.19
1292.78
1307.32
1321.80
1336.21
1350.55
1364.81
1379.01
1393.13
1407.18
1421.14
1435.03
1448.84
1462.57
1476.21
1489.78
1503.26
1516.67
1529.99
1543.22
1556.38
1569.46
1582.44
1595.35
1608.19
1620.93
1633.61
1646.20
1658.70
1671.14
1683.49
1695.77
1707.97
1720.10
1732.15
1744.12
1756.03
1767.86
1779.62
1791.31
1802.93
1814.48
1825.96
1837.37
1848.71
1859.99
1871.21
1882.35
1893.44
1904.46
1915.42
1926.31
1937.15
1947.92
1958.64
1969.29
1979.89
1990.43
2000.91
2011.34
2021.71
2032.02
2042.28
2052.49
2062.64
2072.74
2082.79
2092.79
2102.74
2112.64
2122.49
2132.29
2142.04
2151.74
2161.40
2171.00
2180.57
2190.08
2199.55
2208.98
2218.36
2227.70
2237.00
2246.26
2255.47
2264.63
2273.76
2282.84
2291.89
2300.90
2309.86
2318.79
2327.67
2336.53
2345.34
2354.11
2362.84
2371.54
2380.21
2388.83
2397.42
2405.97
2414.49
2422.98
2431.42
2439.84
2448.22
2456.57
2464.88
2473.16
2481.41
2489.63
2497.81
2505.97
